MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.58643	Sec	5/8/2017 6:19:50 PM
Time	Axial Displacement	Axial Force
Sec	mm	N
0.17089844	-26.439228	0.36851913
0.27099609	-26.441517	0.33252811
0.37109375	-26.441366	0.33280024
0.47119141	-26.442488	0.32435009
0.57128906	-26.443651	0.30818108
0.67138672	-26.443359	0.31811035
0.77148438	-26.444126	0.30622831
0.87158203	-26.445211	0.29223597
0.97167969	-26.446354	0.26248193
1.0717773	-26.446941	0.25193897
1.171875	-26.445707	0.2586711
1.2719727	-26.446613	0.23837306
1.3720703	-26.447206	0.23126948
1.472168	-26.447351	0.22924726
1.5722656	-26.446777	0.21854085
1.6723633	-26.446289	0.21623331
1.7724609	-26.445726	0.2353031
1.8725586	-26.446453	0.21024722
1.9726563	-26.447222	0.19935417
2.0727539	-26.444012	0.23739295
2.1728516	-26.444174	0.23847571
2.2729492	-26.443438	0.25847697
2.3730469	-26.44289	0.2649774
2.4731445	-26.441839	0.29116693
2.5732422	-26.440863	0.31825185
2.6733398	-26.44145	0.30840552
2.7734375	-26.441095	0.30870512
2.8735352	-26.439564	0.3415834
2.9736328	-26.437737	0.36830896
3.0737305	-26.439613	0.35185939
3.1738281	-26.440735	0.32601601
3.2739258	-26.439793	0.34568378
3.3740234	-26.44054	0.33695385
3.4741211	-26.442326	0.30819941
3.5742188	-26.44289	0.2942073
3.6743164	-26.44244	0.31193268
3.7744141	-26.442785	0.30950207
3.8745117	-26.445328	0.26588005
3.9746094	-26.445799	0.24219739
4.074707	-26.446035	0.23680317
4.1748047	-26.44772	0.20479508
4.2749023	-26.448437	0.19172154
4.375	-26.447502	0.20967929
4.4750977	-26.447721	0.20445976
4.5751953	-26.448614	0.19278422
4.675293	-26.445728	0.2199699
4.7753906	-26.448093	0.19170091
4.8754883	-26.445957	0.23038138
4.9755859	-26.444868	0.24659333
5.0756836	-26.444481	0.24033321
5.1757813	-26.444197	0.24347909
5.2758789	-26.441854	0.27833569
5.3759766	-26.438364	0.35628775
5.4760742	-26.437838	0.35578468
5.5761719	-26.43717	0.37720218
5.6762695	-26.437798	0.36978942
5.7763672	-26.436401	0.38957003
5.8764648	-26.436266	0.38593045
5.9765625	-26.43449	0.4250975
6.0766602	-26.437433	0.38868794
6.1767578	-26.440392	0.34331122
6.2768555	-26.440096	0.33986109
6.3769531	-26.439047	0.35478535
6.4770508	-26.440624	0.3398082
6.5771484	-26.441256	0.31422254
6.6772461	-26.441774	0.31817988
6.7773438	-26.443518	0.27405301
6.8774414	-26.442968	0.26991212
6.9775391	-26.442085	0.29029614
7.0776367	-26.441675	0.289597
7.1777344	-26.4438	0.24923077
7.277832	-26.443998	0.24825802
7.3779297	-26.442572	0.25923896
7.4780273	-26.443615	0.24189349
7.578125	-26.442249	0.26320821
7.6782227	-26.441719	0.27070782
7.7783203	-26.442377	0.25462827
7.878418	-26.440287	0.28853968
7.9785156	-26.437954	0.33717433
8.0786133	-26.437881	0.3467125
8.1787109	-26.437916	0.34239683
8.2788086	-26.438759	0.33937919
8.3789063	-26.43754	0.36693051
8.4790039	-26.437531	0.36833334
8.5791016	-26.437052	0.37504852
8.6791992	-26.436169	0.3943513
8.7792969	-26.436165	0.4005529
8.8793945	-26.436783	0.37497136
8.9794922	-26.436886	0.37331617
9.0795898	-26.439041	0.35395974
9.1796875	-26.439232	0.34595394
9.2797852	-26.438936	0.34726006
9.3798828	-26.441441	0.31491533
9.4799805	-26.440886	0.31072381
9.5800781	-26.441526	0.29457185
9.6801758	-26.442408	0.28451809
9.7802734	-26.442898	0.26541963
9.8803711	-26.443903	0.24227506
9.9804688	-26.442451	0.25033078
10.080566	-26.442949	0.24841438
10.180664	-26.44393	0.22238129
10.280762	-26.442175	0.24416606
10.380859	-26.439266	0.29106432
10.480957	-26.440027	0.28063014
10.581055	-26.438925	0.2986176
10.681152	-26.439548	0.29125452
10.78125	-26.436939	0.33946127
10.881348	-26.437078	0.33029839
10.981445	-26.435923	0.36908102
11.081543	-26.437151	0.35715538
11.181641	-26.435974	0.37505883
11.281738	-26.435183	0.39091936
11.381836	-26.435053	0.39363518
11.481934	-26.434975	0.40322307
11.582031	-26.431402	0.45146358
11.682129	-26.432022	0.43856838
11.782227	-26.432837	0.41784149
11.882324	-26.434904	0.38802516
11.982422	-26.435545	0.38052055
12.08252	-26.436096	0.37136674
12.182617	-26.436148	0.37343794
12.282715	-26.437592	0.33660227
12.382813	-26.438477	0.31739345
12.48291	-26.438982	0.29166663
12.583008	-26.4387	0.29212508
12.683105	-26.438749	0.28782335
12.783203	-26.44009	0.26543891
12.883301	-26.437321	0.29460597
12.983398	-26.438923	0.27190617
13.083496	-26.438025	0.28182751
13.183594	-26.436506	0.30953974
13.283691	-26.434698	0.35095483
13.383789	-26.435215	0.3264617
13.483887	-26.433374	0.37068924
13.583984	-26.432976	0.38104063
13.684082	-26.433407	0.36143234
13.78418	-26.431635	0.39903367
13.884277	-26.431942	0.39804602
13.984375	-26.431334	0.41964129
14.084473	-26.431383	0.4220382
14.18457	-26.432104	0.41194227
14.284668	-26.429693	0.45657668
14.384766	-26.430311	0.45433334
14.484863	-26.43318	0.4078331
14.584961	-26.433264	0.38664356
14.685059	-26.433212	0.39968866
14.785156	-26.435448	0.37494105
14.885254	-26.436262	0.3583028
14.985352	-26.434967	0.36790189
15.085449	-26.436312	0.3389574
15.185547	-26.437683	0.30835971
15.285645	-26.437902	0.30997872
15.385742	-26.438429	0.29340568
15.48584	-26.439232	0.27741718
15.585938	-26.437338	0.30543423
15.686035	-26.438755	0.28499752
15.786133	-26.440235	0.26926172
15.88623	-26.439196	0.27811706
15.986328	-26.436306	0.31595984
16.086426	-26.436646	0.31763408
16.186523	-26.435677	0.33027583
16.286621	-26.432638	0.37714839
16.386719	-26.430817	0.41496137
16.486816	-26.429941	0.41795602
16.586914	-26.428638	0.43675119
16.687012	-26.428658	0.44143528
16.787109	-26.427912	0.46210071
16.887207	-26.427355	0.46544454
16.987305	-26.426367	0.48170272
17.087402	-26.425652	0.49521115
17.1875	-26.427893	0.45705369
17.287598	-26.426615	0.47909245
17.387695	-26.427736	0.45965287
17.487793	-26.429289	0.43551528
17.587891	-26.428295	0.43952405
17.687988	-26.429375	0.41456771
17.788086	-26.432201	0.37296239
17.888184	-26.4319	0.36299798
17.988281	-26.4326	0.35733667
18.088379	-26.433432	0.3476294
18.188477	-26.43372	0.33161095
18.288574	-26.433811	0.32445642
18.388672	-26.433802	0.33773369
18.48877	-26.434595	0.31299561
18.588867	-26.434433	0.31657755
18.688965	-26.433672	0.32531887
18.789063	-26.433636	0.32802996
18.88916	-26.43214	0.34771526
18.989258	-26.431185	0.35391822
19.089355	-26.430616	0.37277806
19.189453	-26.429066	0.40073553
19.289551	-26.428152	0.4164305
19.389648	-26.427002	0.44240156
19.489746	-26.427008	0.44472954
19.589844	-26.427614	0.43949559
19.689941	-26.425905	0.48383629
19.790039	-26.424009	0.50734222
19.890137	-26.425529	0.48411128
19.990234	-26.425098	0.49138612
20.090332	-26.426773	0.47315988
20.19043	-26.427176	0.46635613
20.290527	-26.427475	0.44790745
20.390625	-26.424368	0.51702332
20.490723	-26.42597	0.47570723
20.59082	-26.42695	0.4612568
20.690918	-26.428446	0.4274011
20.791016	-26.42878	0.41165388
20.891113	-26.430393	0.37179536
20.991211	-26.430546	0.37116954
21.091309	-26.431011	0.35278937
21.191406	-26.430046	0.35584271
21.291504	-26.42951	0.36284241
21.391602	-26.428288	0.38463408
21.491699	-26.429289	0.37575948
21.591797	-26.429642	0.36101171
21.691895	-26.428734	0.36122152
21.791992	-26.427811	0.38167897
21.89209	-26.425158	0.4224745
21.992188	-26.422625	0.48478976
22.092285	-26.4224	0.4937048
22.192383	-26.422632	0.4901011
22.29248	-26.423473	0.47926676
22.392578	-26.422438	0.50430703
22.492676	-26.421959	0.50720918
22.592773	-26.421602	0.51747978
22.692871	-26.422098	0.52675617
22.792969	-26.422112	0.52415395
22.893066	-26.422121	0.5181942
22.993164	-26.423788	0.49521536
23.093262	-26.423691	0.49191043
23.193359	-26.424128	0.47442728
23.293457	-26.424301	0.47096002
23.393555	-26.42544	0.45329404
23.493652	-26.42642	0.41423625
23.59375	-26.42635	0.41194597
23.693848	-26.428066	0.36799103
23.793945	-26.429464	0.33876956
23.894043	-26.428644	0.34823745
23.994141	-26.427036	0.36607391
24.094238	-26.427412	0.3673138
24.194336	-26.42662	0.37151182
24.294434	-26.427641	0.35365063
24.394531	-26.426796	0.38900661
24.494629	-26.426405	0.38602269
24.594727	-26.426487	0.38370806
24.694824	-26.423586	0.43259886
