MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.61206	Sec	5/8/2017 6:41:10 PM
Time	Axial Displacement	Axial Force
Sec	mm	N
15.510498	-26.992376	0.10700585
15.610596	-26.998255	0.05460541
15.710693	-26.992399	0.10261882
15.810791	-26.994259	0.080971837
15.910889	-26.993704	0.090396166
16.010986	-26.993767	0.086825609
16.111084	-26.995144	0.07940165
16.211182	-26.992449	0.095716454
16.311279	-26.997042	0.068083771
16.411377	-26.992289	0.10026044
16.511475	-26.999464	0.051665608
16.611572	-26.991314	0.10969173
16.71167	-26.997814	0.055008382
16.811768	-26.994495	0.08707156
16.911865	-26.996452	0.062538385
17.011963	-26.997156	0.067824163
17.112061	-26.996901	0.059088703
17.212158	-26.994991	0.077588573
17.312256	-26.995764	0.066004388
17.412354	-26.993305	0.080948398
17.512451	-26.995861	0.058524054
17.612549	-26.990877	0.093995772
17.712646	-26.994591	0.068368733
17.812744	-26.992487	0.090137661
17.912842	-26.991953	0.086307809
18.012939	-26.996372	0.064470485
18.113037	-26.987738	0.12015087
18.213135	-26.996958	0.053718433
18.313232	-26.991005	0.10335165
18.41333	-26.992367	0.0832697
18.513428	-26.991907	0.09214554
18.613525	-26.993492	0.083957575
18.713623	-26.99004	0.10862652
18.813721	-26.995512	0.065873012
18.913818	-26.990379	0.10402994
19.013916	-26.992426	0.089127146
19.114014	-26.992418	0.088657208
19.214111	-26.992632	0.084681645
19.314209	-26.994074	0.078433461
19.414307	-26.99259	0.081261568
19.514404	-26.995033	0.067892462
19.614502	-26.996021	0.061468307
19.7146	-26.997244	0.05688715
19.814697	-26.992632	0.082468681
19.914795	-27.000372	0.023814177
20.014893	-26.991158	0.09471602
20.11499	-26.999142	0.034390558
20.215088	-26.993736	0.077212684
20.315186	-26.995934	0.048964281
20.415283	-26.993034	0.073885828
20.515381	-26.995125	0.057366703
20.615479	-26.989096	0.10470492
20.715576	-26.98844	0.10617775
20.815674	-26.989193	0.10746334
20.915771	-26.982824	0.14933065
21.015869	-26.988331	0.11246601
21.115967	-26.982573	0.15370627
21.216064	-26.987909	0.1119521
21.316162	-26.982239	0.16117419
21.41626	-26.988539	0.11048717
21.516357	-26.983465	0.14764807
21.616455	-26.986715	0.12233363
21.716553	-26.980616	0.16762486
21.81665	-26.986702	0.12227613
21.916748	-26.985668	0.13226674
22.016846	-26.990505	0.094315246
22.116943	-26.985065	0.13317758
22.217041	-26.989676	0.098913208
22.317139	-26.987066	0.11436079
22.417236	-26.990423	0.098106101
22.517334	-26.984463	0.13269244
22.617432	-26.989578	0.097325757
22.717529	-26.985525	0.12316804
22.817627	-26.989048	0.097573444
22.917725	-26.985559	0.12548012
23.017822	-26.988293	0.10393319
23.11792	-26.986282	0.11813224
23.218018	-26.985682	0.12179366
23.318115	-26.98587	0.12141399
23.418213	-26.984329	0.13667876
23.518311	-26.984175	0.13346693
23.618408	-26.983686	0.14119597
23.718506	-26.983273	0.14661381
23.818604	-26.983194	0.14531749
23.918701	-26.983427	0.13732208
24.018799	-26.981661	0.15632702
24.118896	-26.982628	0.14496174
24.218994	-26.983984	0.13740841
24.319092	-26.983551	0.13758129
24.419189	-26.984646	0.13560818
24.519287	-26.985027	0.12913378
24.619385	-26.985668	0.1223366
24.719482	-26.984152	0.13330035
24.81958	-26.985975	0.11264234
24.919678	-26.985247	0.12495945
25.019775	-26.986021	0.11734156
25.119873	-26.98741	0.10457529
25.219971	-26.984692	0.12350353
25.320068	-26.987684	0.095175706
25.420166	-26.977726	0.1843922
25.520264	-26.990078	0.086890221
25.620361	-26.97452	0.20778471
25.720459	-26.983335	0.1262383
25.820557	-26.977268	0.1804783
25.920654	-26.982059	0.13677377
26.020752	-26.976206	0.18794183
26.12085	-26.979982	0.15138793
26.220947	-26.974512	0.20251074
26.321045	-26.980982	0.1445962
26.421143	-26.974155	0.20894672
26.52124	-26.978821	0.16554715
26.621338	-26.974834	0.19739452
26.721436	-26.978546	0.16590802
26.821533	-26.97506	0.19680983
26.921631	-26.978397	0.17011137
27.021729	-26.973642	0.20504236
27.121826	-26.977472	0.17360084
27.221924	-26.974707	0.19725762
27.322021	-26.977365	0.17678419
27.422119	-26.97805	0.16663077
27.522217	-26.9785	0.16868098
27.622314	-26.978502	0.16111362
27.722412	-26.978092	0.16690181
27.82251	-26.978952	0.16083999
27.922607	-26.980543	0.14802749
28.022705	-26.979647	0.14973517
28.122803	-26.979496	0.15484011
28.2229	-26.978338	0.1636259
28.322998	-26.980331	0.14058879
28.423096	-26.978008	0.16613427
28.523193	-26.978029	0.15642461
28.623291	-26.975971	0.17628665
28.723389	-26.97764	0.16464998
28.823486	-26.973783	0.19219929
28.923584	-26.975008	0.17890903
29.023682	-26.972807	0.19445574
29.123779	-26.974514	0.18250006
29.223877	-26.969507	0.22760965
29.323975	-26.975836	0.17041077
29.424072	-26.971874	0.21178593
29.52417	-26.973263	0.19544715
29.624268	-26.971851	0.21250795
29.724365	-26.974501	0.18557109
29.824463	-26.968386	0.24315435
29.924561	-26.97534	0.17516612
30.024658	-26.97102	0.21558228
30.124756	-26.977577	0.15758272
30.224854	-26.972063	0.20462127
30.324951	-26.976192	0.16829093
30.425049	-26.971598	0.20851164
30.525146	-26.977673	0.15558963
30.625244	-26.97492	0.18559776
30.725342	-26.976446	0.16863793
30.825439	-26.972281	0.19664952
30.925537	-26.97197	0.20774364
31.025635	-26.971767	0.19233502
31.125732	-26.966295	0.25051776
31.22583	-26.971102	0.19678514
31.325928	-26.964828	0.26538092
31.426025	-26.976307	0.1495382
31.526123	-26.959963	0.31839514
31.626221	-26.974789	0.1661928
31.726318	-26.958324	0.32265463
31.826416	-26.968212	0.22373146
31.926514	-26.966841	0.2235962
32.026611	-26.960701	0.30416545
32.126709	-26.969646	0.19852203
32.226807	-26.961016	0.29909611
32.326904	-26.968264	0.21939018
32.427002	-26.960821	0.30255485
32.5271	-26.966396	0.23790297
32.627197	-26.963818	0.26932827
32.727295	-26.965515	0.25125515
32.827393	-26.964787	0.24903889
32.92749	-26.963531	0.26571125
33.027588	-26.966297	0.23231134
33.127686	-26.962809	0.26775697
33.227783	-26.96908	0.19933194
33.327881	-26.963638	0.25399262
33.427979	-26.966673	0.22579215
33.528076	-26.967634	0.20564193
33.628174	-26.965363	0.23917064
33.728271	-26.972834	0.1682363
33.828369	-26.963924	0.2455526
33.928467	-26.969488	0.19374104
34.028564	-26.964376	0.24099068
34.128662	-26.968027	0.20711547
34.22876	-26.964808	0.23237787
34.328857	-26.964567	0.24308492
34.428955	-26.964926	0.23775512
34.529053	-26.964125	0.24704653
34.62915	-26.964527	0.24737377
34.729248	-26.962873	0.26315677
34.829346	-26.964041	0.24988747
34.929443	-26.960466	0.27863351
35.029541	-26.964743	0.24116814
35.129639	-26.959787	0.28968033
35.229736	-26.96562	0.22708176
35.329834	-26.960579	0.28339738
35.429932	-26.965073	0.2325308
35.530029	-26.962276	0.25646177
35.630127	-26.96224	0.26059428
35.730225	-26.964699	0.22652295
35.830322	-26.961767	0.26466531
35.93042	-26.967651	0.20475474
36.030518	-26.963081	0.25047469
36.130615	-26.967693	0.20312777
36.230713	-26.964247	0.23437323
36.330811	-26.964108	0.24267659
36.430908	-26.967083	0.2097014
36.531006	-26.963285	0.24706684
36.631104	-26.964621	0.23158859
36.731201	-26.965244	0.23033184
36.831299	-26.962549	0.25935724
36.931396	-26.96431	0.23671183
37.031494	-26.962559	0.25750551
37.131592	-26.963963	0.24227266
37.231689	-26.963816	0.24414633
37.331787	-26.960419	0.28329507
37.431885	-26.95821	0.30943826
37.531982	-26.955437	0.34315085
37.63208	-26.958603	0.29777759
37.732178	-26.956501	0.31828114
37.832275	-26.955503	0.32954013
37.932373	-26.955679	0.32411247
38.032471	-26.955824	0.32086852
38.132568	-26.956366	0.30635706
38.232666	-26.955236	0.3217614
38.332764	-26.958044	0.28322726
38.432861	-26.955263	0.32605657
38.532959	-26.959635	0.26929489
38.633057	-26.955465	0.32101715
38.733154	-26.959356	0.27007401
38.833252	-26.958918	0.28158185
38.93335	-26.957346	0.30443412
39.033447	-26.963274	0.23691493
39.133545	-26.95653	0.31352231
39.233643	-26.96073	0.26231849
39.33374	-26.958509	0.28138205
39.433838	-26.958353	0.28815565
39.533936	-26.957912	0.29504022
39.634033	-26.961025	0.25713006
39.734131	-26.956606	0.3103494
39.834229	-26.958282	0.2886517
39.934326	-26.957958	0.28904754
40.034424	-26.955853	0.31372979
40.134521	-26.957462	0.28626415
40.234619	-26.953035	0.35293031
40.334717	-26.955788	0.31622562
40.434814	-26.954865	0.31635714
40.534912	-26.951933	0.36660498
40.63501	-26.957645	0.28844082
40.735107	-26.955841	0.31984782
40.835205	-26.953718	0.35070083
40.935303	-26.957777	0.29600608
41.0354	-26.955868	0.3144947
41.135498	-26.954514	0.33927816
41.235596	-26.959587	0.27420348
41.335693	-26.957396	0.30475086
41.435791	-26.958014	0.29757971
41.535889	-26.957359	0.29398906
41.635986	-26.959259	0.27091244
41.736084	-26.957205	0.2979497
41.836182	-26.958364	0.28351688
41.936279	-26.958595	0.27705535
42.036377	-26.959299	0.26663718
42.136475	-26.956921	0.29173616
42.236572	-26.958454	0.26684248
42.33667	-26.957188	0.27884814
42.436768	-26.955135	0.31926134
42.536865	-26.957975	0.27719444
42.636963	-26.956951	0.29117405
42.737061	-26.956299	0.31420386
42.837158	-26.95615	0.30762592
42.937256	-26.956924	0.29567584
43.037354	-26.956463	0.30239791
43.137451	-26.957108	0.29403159
43.237549	-26.949055	0.40337408
43.337646	-26.951227	0.37682769
43.437744	-26.958851	0.26497158
43.537842	-26.947182	0.43633395
43.637939	-26.95402	0.33512476
43.738037	-26.956429	0.29613864
43.838135	-26.9499	0.39334521
43.938232	-26.954247	0.32825738
44.03833	-26.95508	0.30490887
44.138428	-26.951159	0.36066547
44.238525	-26.951969	0.34635645
44.338623	-26.954819	0.30268466
44.438721	-26.952255	0.34261358
44.538818	-26.953653	0.31769535
44.638916	-26.953428	0.32330129
44.739014	-26.955145	0.30039203
44.839111	-26.952351	0.33999416
44.939209	-26.954203	0.31472012
45.039307	-26.955116	0.30365869
45.139404	-26.952066	0.34618434
45.239502	-26.955786	0.29436654
45.3396	-26.952389	0.33171254
45.439697	-26.954229	0.31082755
45.539795	-26.952862	0.33624861
45.639893	-26.952475	0.34485564
45.73999	-26.952728	0.32402974
45.840088	-26.951311	0.35078648
45.940186	-26.951694	0.34375083
46.040283	-26.953903	0.3143746
46.140381	-26.949205	0.37917754
46.240479	-26.954264	0.31065035
46.340576	-26.953243	0.32408026
46.440674	-26.949905	0.37734032
46.540771	-26.954746	0.31109732
46.640869	-26.952572	0.32499531
46.740967	-26.948887	0.39109606
46.841064	-26.954369	0.31773716
46.941162	-26.953522	0.31700245
47.04126	-26.947453	0.41706005
47.141357	-26.952709	0.33163059
47.241455	-26.954309	0.30562672
47.341553	-26.94742	0.41824684
47.44165	-26.950214	0.36774394
47.541748	-26.952534	0.32803226
47.641846	-26.948977	0.37567505
47.741943	-26.949015	0.37548223
47.842041	-26.952461	0.32535666
47.942139	-26.949314	0.36491266
48.042236	-26.947113	0.3972432
48.142334	-26.948975	0.37188444
48.242432	-26.949326	0.37156758
48.342529	-26.947695	0.39398968
48.442627	-26.949163	0.36821476
48.542725	-26.949453	0.36180732
48.642822	-26.947266	0.40334803
48.74292	-26.947439	0.4095099
48.843018	-26.948992	0.38051739
48.943115	-26.949757	0.36364353
49.043213	-26.947796	0.39549658
49.143311	-26.947586	0.39568627
49.243408	-26.95204	0.32960859
49.343506	-26.94928	0.36769456
49.443604	-26.94669	0.40462327
49.543701	-26.947889	0.39054027
49.643799	-26.948917	0.36709595
49.743896	-26.948908	0.37244809
49.843994	-26.947077	0.398366
49.944092	-26.949457	0.36470321
50.044189	-26.950764	0.33556688
50.144287	-26.950193	0.34071213
50.244385	-26.949129	0.35656601
50.344482	-26.947855	0.37673995
50.44458	-26.948606	0.36154109
50.544678	-26.949068	0.34922805
50.644775	-26.947758	0.37035513
50.744873	-26.948019	0.37264124
50.844971	-26.95055	0.33131567
50.945068	-26.947947	0.36110419
51.045166	-26.947001	0.37983003
51.145264	-26.946796	0.38507402
51.245361	-26.941538	0.46853998
51.345459	-26.940683	0.49822253
51.445557	-26.945332	0.38917679
51.545654	-26.945024	0.40381402
51.645752	-26.94343	0.43782055
51.74585	-26.942976	0.44648674
51.845947	-26.945778	0.38458681
51.946045	-26.94352	0.42528477
52.046143	-26.94169	0.46080115
52.14624	-26.943117	0.43794507
52.246338	-26.944391	0.40713367
52.346436	-26.944866	0.40676042
52.446533	-26.942507	0.44464615
52.546631	-26.942167	0.45211154
52.646729	-26.944071	0.41097343
52.746826	-26.94582	0.38676816
52.846924	-26.941986	0.46510202
52.947021	-26.943111	0.44086158
53.047119	-26.946495	0.37944078
53.147217	-26.942974	0.43236524
53.247314	-26.942211	0.44161144
53.347412	-26.942379	0.43777153
53.44751	-26.943943	0.41020155
53.547607	-26.943361	0.43381751
53.647705	-26.941402	0.46696281
53.747803	-26.941708	0.45354107
53.8479	-26.942797	0.4433594
53.947998	-26.942247	0.4420498
54.048096	-26.943354	0.4240309
54.148193	-26.943184	0.42782906
54.248291	-26.941401	0.46227771
54.348389	-26.941122	0.46968049
54.448486	-26.942173	0.45792791
54.548584	-26.942467	0.4363178
54.648682	-26.94384	0.41527313
54.748779	-26.94323	0.42485848
54.848877	-26.94346	0.42078435
54.948975	-26.944157	0.40800771
55.049072	-26.943283	0.42598373
55.14917	-26.941858	0.45740968
55.249268	-26.943245	0.41582999
55.349365	-26.943766	0.41768354
55.449463	-26.943174	0.42138606
55.549561	-26.942686	0.43594077
55.649658	-26.942007	0.44087988
55.749756	-26.942398	0.44159573
55.849854	-26.941813	0.4525502
55.949951	-26.941441	0.45726791
56.050049	-26.942503	0.44149309
56.150146	-26.943415	0.41997367
56.250244	-26.942333	0.43461543
56.350342	-26.941092	0.45814836
56.450439	-26.942276	0.45102844
