MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.57251	Sec	5/8/2017 7:33:52 PM
Time	Axial Displacement	Axial Force
Sec	mm	N
3.0566406	-26.911352	0.10251208
3.1567383	-26.917564	0.06210858
3.2568359	-26.910204	0.10769997
3.3569336	-26.91576	0.068750255
3.4570313	-26.913025	0.096278645
3.5571289	-26.913595	0.086553805
3.6572266	-26.914351	0.07878042
3.7573242	-26.913074	0.090732507
3.8574219	-26.914103	0.083690487
3.9575195	-26.91234	0.093780562
4.0576172	-26.916925	0.059943788
4.1577148	-26.910673	0.10909268
4.2578125	-26.917442	0.057391327
4.3579102	-26.913248	0.093173005
4.4580078	-26.916077	0.064755589
4.5581055	-26.916624	0.06619443
4.6582031	-26.916996	0.058026467
4.7583008	-26.91379	0.084002413
4.8583984	-26.918726	0.044842284
4.9584961	-26.914288	0.083885632
5.0585938	-26.91597	0.06878937
5.1586914	-26.916199	0.069916457
5.2587891	-26.914564	0.08206141
5.3588867	-26.914804	0.08029411
5.4589844	-26.916899	0.06537088
5.559082	-26.916452	0.068684779
5.6591797	-26.917175	0.063460223
5.7592773	-26.912653	0.094552748
5.859375	-26.916836	0.06573043
5.9594727	-26.914743	0.082074612
6.0595703	-26.915255	0.07024765
6.159668	-26.915485	0.07648401
6.2597656	-26.913336	0.087355949
6.3598633	-26.920233	0.041635897
6.4599609	-26.912645	0.095310867
6.5600586	-26.920092	0.039309897
6.6601563	-26.912348	0.093134657
6.7602539	-26.91951	0.044239607
6.8603516	-26.913374	0.088947654
6.9604492	-26.918354	0.049334433
7.0605469	-26.911482	0.098744161
7.1606445	-26.914223	0.079139672
7.2607422	-26.910587	0.10108835
7.3608398	-26.914646	0.074130297
7.4609375	-26.914278	0.081221476
7.5610352	-26.915472	0.071805865
7.6611328	-26.914043	0.084982723
7.7612305	-26.913944	0.07851021
7.8613281	-26.914099	0.077667363
7.9614258	-26.91374	0.085129716
8.0615234	-26.913084	0.093367659
8.1616211	-26.906694	0.12116036
8.2617188	-26.910261	0.10986175
8.3618164	-26.902805	0.1480556
8.4619141	-26.908197	0.11273347
8.5620117	-26.902603	0.15045804
8.6621094	-26.907928	0.10944337
8.762207	-26.903292	0.14201045
8.8623047	-26.909534	0.095606372
8.9624023	-26.906549	0.11823715
9.0625	-26.906635	0.12300263
9.1625977	-26.906549	0.12004013
9.2626953	-26.907698	0.11045409
9.362793	-26.907057	0.11769921
9.4628906	-26.908211	0.10395557
9.5629883	-26.906052	0.1235007
9.6630859	-26.907425	0.10970596
9.7631836	-26.907475	0.11000084
9.8632813	-26.905289	0.12791359
9.9633789	-26.906282	0.12429978
10.063477	-26.905222	0.1286758
10.163574	-26.908939	0.10289334
10.263672	-26.904417	0.13602406
10.36377	-26.90951	0.094485424
10.463867	-26.906046	0.12279722
10.563965	-26.905058	0.12764466
10.664063	-26.906635	0.10992902
10.76416	-26.902746	0.13619398
10.864258	-26.904514	0.12471601
10.964355	-26.905878	0.11771156
11.064453	-26.903284	0.13674049
11.164551	-26.90836	0.10224769
11.264648	-26.906532	0.11304905
11.364746	-26.905455	0.12117096
11.464844	-26.907881	0.10018329
11.564941	-26.900389	0.16080169
11.665039	-26.906656	0.10113718
11.765137	-26.903494	0.13137321
11.865234	-26.906036	0.11462185
11.965332	-26.9048	0.12539601
12.06543	-26.904411	0.13110293
12.165527	-26.900927	0.15793642
12.265625	-26.904961	0.12011088
12.365723	-26.903994	0.1301306
12.46582	-26.907131	0.10890519
12.565918	-26.903366	0.1382107
12.666016	-26.906311	0.11347094
12.766113	-26.904034	0.13984993
12.866211	-26.899963	0.16554745
12.966309	-26.89839	0.18011953
13.066406	-26.896156	0.18968908
13.166504	-26.897768	0.17702664
13.266602	-26.899656	0.1600462
13.366699	-26.898443	0.17230308
13.466797	-26.899187	0.16379055
13.566895	-26.896235	0.18602172
13.666992	-26.899811	0.15205987
13.76709	-26.89603	0.19073191
13.867188	-26.899296	0.15469328
13.967285	-26.897646	0.17124118
14.067383	-26.897223	0.1674251
14.16748	-26.898193	0.16105035
14.267578	-26.896658	0.16882291
14.367676	-26.898346	0.16614944
14.467773	-26.89822	0.15804389
14.567871	-26.897892	0.16417764
14.667969	-26.89653	0.17359079
14.768066	-26.896448	0.16819109
14.868164	-26.89761	0.15995434
14.968262	-26.89823	0.15644236
15.068359	-26.897036	0.16869414
15.168457	-26.89922	0.15297344
15.268555	-26.895855	0.17194445
15.368652	-26.896502	0.16743615
15.46875	-26.89908	0.14200637
15.568848	-26.894522	0.17964381
15.668945	-26.896194	0.16579054
15.769043	-26.897753	0.15385954
15.869141	-26.896152	0.16939647
15.969238	-26.896139	0.16829538
16.069336	-26.897331	0.15834564
16.169434	-26.89847	0.15403883
16.269531	-26.897203	0.15790156
16.369629	-26.894575	0.17708889
16.469727	-26.898624	0.14117186
16.569824	-26.89604	0.16417596
16.669922	-26.896585	0.16010839
16.77002	-26.895252	0.17039914
16.870117	-26.896748	0.14717871
16.970215	-26.895144	0.17098309
17.070313	-26.896515	0.15261506
17.17041	-26.894323	0.17619608
17.270508	-26.895693	0.16404147
17.370605	-26.885204	0.24265891
17.470703	-26.892769	0.17937657
17.570801	-26.887836	0.22061087
17.670898	-26.889502	0.20324937
17.770996	-26.887075	0.22143042
17.871094	-26.889168	0.20147996
17.971191	-26.885307	0.23016426
18.071289	-26.889103	0.19894895
18.171387	-26.884819	0.23298308
18.271484	-26.888973	0.2009957
18.371582	-26.885914	0.22522993
18.47168	-26.887306	0.21193792
18.571777	-26.884201	0.24109237
18.671875	-26.888908	0.19101872
18.771973	-26.884094	0.24094982
18.87207	-26.887251	0.20129248
18.972168	-26.884604	0.22469816
19.072266	-26.885523	0.21611033
19.172363	-26.886379	0.213631
19.272461	-26.886408	0.20813243
19.372559	-26.884964	0.22142741
19.472656	-26.883955	0.22482942
19.572754	-26.885778	0.21449991
19.672852	-26.885107	0.21303333
19.772949	-26.884033	0.22442804
19.873047	-26.88586	0.20863642
19.973145	-26.885313	0.21671845
20.073242	-26.885029	0.21520799
20.17334	-26.883154	0.22729474
20.273438	-26.885958	0.20684578
20.373535	-26.884157	0.22145183
20.473633	-26.883671	0.22002427
20.57373	-26.884941	0.21033821
20.673828	-26.882275	0.22895427
20.773926	-26.884178	0.21521457
20.874023	-26.88344	0.22294062
20.974121	-26.884171	0.21310623
21.074219	-26.882523	0.22540154
21.174316	-26.883736	0.21878669
21.274414	-26.883234	0.22014534
21.374512	-26.882771	0.22536233
21.474609	-26.882141	0.22742981
21.574707	-26.881039	0.23876844
21.674805	-26.879541	0.24606553
21.774902	-26.882505	0.22990838
21.875	-26.881081	0.23906364
21.975098	-26.8818	0.23697647
22.075195	-26.886198	0.1975814
22.175293	-26.882984	0.2250942
22.275391	-26.88224	0.22752948
22.375488	-26.885286	0.20348814
22.475586	-26.879951	0.25028828
22.575684	-26.886114	0.19832599
22.675781	-26.872784	0.30196816
22.775879	-26.882824	0.21131533
22.875977	-26.871155	0.30371997
22.976074	-26.880732	0.22414416
23.076172	-26.874401	0.27134702
23.17627	-26.878433	0.23826876
23.276367	-26.872849	0.2786881
23.376465	-26.876295	0.24565481
23.476563	-26.874851	0.25835118
23.57666	-26.875898	0.24733073
23.676758	-26.872513	0.27704185
23.776855	-26.875906	0.24344112
23.876953	-26.869642	0.29942477
23.977051	-26.876713	0.23499434
24.077148	-26.869661	0.29534847
24.177246	-26.873981	0.25886235
24.277344	-26.868069	0.31039253
24.377441	-26.872032	0.26875284
24.477539	-26.869946	0.28760377
24.577637	-26.870707	0.27807179
24.677734	-26.871937	0.27427939
24.777832	-26.869392	0.28948814
24.87793	-26.870466	0.28316537
24.978027	-26.86899	0.28788838
25.078125	-26.869783	0.28293553
25.178223	-26.868393	0.28702679
25.27832	-26.870098	0.27851847
25.378418	-26.870235	0.26666662
25.478516	-26.868187	0.29028103
25.578613	-26.873569	0.23919921
25.678711	-26.866543	0.30280203
25.778809	-26.871422	0.25213847
25.878906	-26.867643	0.28491843
25.979004	-26.87002	0.26355204
26.079102	-26.866039	0.29935056
26.179199	-26.870066	0.25934842
26.279297	-26.864687	0.3093771
26.379395	-26.868279	0.27092925
26.479492	-26.866915	0.2882854
26.57959	-26.865868	0.29149455
26.679688	-26.865059	0.30149725
26.779785	-26.867237	0.28364483
26.879883	-26.864279	0.30864561
26.97998	-26.867641	0.27839765
27.080078	-26.863876	0.31111655
27.180176	-26.867582	0.27601817
27.280273	-26.863548	0.31372434
27.380371	-26.866623	0.28774977
27.480469	-26.864868	0.29883152
27.580566	-26.867699	0.27906534
27.680664	-26.865595	0.29374596
27.780762	-26.866226	0.28078875
27.880859	-26.865366	0.28914288
27.980957	-26.867422	0.27741653
28.081055	-26.86577	0.2847884
28.181152	-26.866743	0.27287433
28.28125	-26.865887	0.28069416
28.381348	-26.868021	0.26566818
28.481445	-26.866987	0.26901674
28.581543	-26.857273	0.3510322
28.681641	-26.866182	0.26806334
28.781738	-26.853598	0.35874498
28.881836	-26.861012	0.30687889
28.981934	-26.85615	0.31979474
29.082031	-26.85232	0.36923644
29.182129	-26.861254	0.26704109
29.282227	-26.846085	0.41374457
29.382324	-26.863218	0.24982044
29.482422	-26.84304	0.43038005
29.58252	-26.859215	0.28220806
29.682617	-26.842852	0.42357355
29.782715	-26.859747	0.27971604
29.882813	-26.842968	0.41807544
29.98291	-26.853079	0.32317623
30.083008	-26.844154	0.39865106
30.183105	-26.854042	0.31354344
30.283203	-26.845148	0.37509322
30.383301	-26.84771	0.36641967
30.483398	-26.854477	0.28505448
30.583496	-26.841805	0.40981922
30.683594	-26.8584	0.24629635
30.783691	-26.839041	0.43231019
30.883789	-26.855804	0.26788402
30.983887	-26.841303	0.40149176
31.083984	-26.851191	0.30237272
31.184082	-26.842903	0.37832108
31.28418	-26.849672	0.31676996
31.384277	-26.846697	0.34149668
31.484375	-26.846926	0.34222516
31.584473	-26.848211	0.32761079
31.68457	-26.843285	0.37089542
31.784668	-26.846958	0.33609557
31.884766	-26.845671	0.34721798
31.984863	-26.844109	0.35743314
32.084961	-26.843311	0.36572683
32.185059	-26.845749	0.34557822
32.285156	-26.839691	0.39538643
32.385254	-26.842283	0.36212754
32.485352	-26.840487	0.38376993
32.585449	-26.842333	0.36444205
32.685547	-26.840124	0.38319868
32.785645	-26.841194	0.37192783
32.885742	-26.840794	0.37511083
32.98584	-26.841806	0.36943382
33.085938	-26.844481	0.34454963
33.186035	-26.84042	0.37955052
33.286133	-26.843706	0.34537479
33.38623	-26.841324	0.36961812
33.486328	-26.842524	0.35773483
33.586426	-26.841749	0.3614175
33.686523	-26.843645	0.34410873
33.786621	-26.840921	0.36514559
33.886719	-26.84396	0.34055522
33.986816	-26.839111	0.37832338
34.086914	-26.844959	0.32075664
34.187012	-26.83976	0.36575702
34.287109	-26.843107	0.33331236
34.387207	-26.839561	0.36332741
34.487305	-26.844015	0.32333183
34.587402	-26.839495	0.36885419
34.6875	-26.843529	0.33249331
34.787598	-26.83779	0.37712374
34.887695	-26.841873	0.33866304
34.987793	-26.836554	0.38855022
35.087891	-26.842701	0.33791539
35.187988	-26.839737	0.36522043
35.288086	-26.836554	0.39251271
35.388184	-26.841331	0.34693998
35.488281	-26.836477	0.39000094
35.588379	-26.84218	0.33615917
35.688477	-26.836323	0.39097783
35.788574	-26.84082	0.34577474
35.888672	-26.835159	0.3949855
35.98877	-26.841583	0.33358294
36.088867	-26.838326	0.36688241
36.188965	-26.840805	0.34160233
36.289063	-26.837297	0.3738772
36.38916	-26.843281	0.31814817
36.489258	-26.836498	0.38577166
36.589355	-26.840746	0.34166601
36.689453	-26.831635	0.41626251
36.789551	-26.836483	0.370689
36.889648	-26.833904	0.38358924
36.989746	-26.833199	0.38825127
37.089844	-26.834097	0.37774855
37.189941	-26.831186	0.40958863
37.290039	-26.835064	0.37500829
37.390137	-26.830296	0.41298455
37.490234	-26.835197	0.36652845
37.590332	-26.829699	0.41660303
37.69043	-26.833195	0.38630453
37.790527	-26.828529	0.41593897
37.890625	-26.832813	0.37807155
37.990723	-26.828342	0.41646463
38.09082	-26.829481	0.40256709
38.190918	-26.826534	0.42982617
38.291016	-26.828762	0.40680355
38.391113	-26.825491	0.43919164
38.491211	-26.831528	0.38604257
38.591309	-26.824671	0.44536662
38.691406	-26.827143	0.41837254
38.791504	-26.828733	0.40203032
38.891602	-26.826612	0.42492533
38.991699	-26.828737	0.39350092
39.091797	-26.827139	0.40536195
39.191895	-26.827902	0.39487487
39.291992	-26.827351	0.39943787
39.39209	-26.827492	0.40161049
39.492188	-26.829556	0.37366301
39.592285	-26.827082	0.39582711
39.692383	-26.828283	0.38129431
39.79248	-26.828619	0.38016796
39.892578	-26.826342	0.39808288
