MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	45.984131	Sec	6/8/2017 10:50:21 AM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.15657745	-45.321632	0.20410156
0.18413815	-45.320728	0.30419922
0.16915354	-45.320904	0.40429688
0.17247938	-45.320526	0.50439453
0.14879267	-45.323761	0.60449219
0.23338948	-45.312881	0.70458984
0.13576275	-45.327148	0.8046875
0.22321202	-45.311882	0.90478516
0.17661978	-45.321617	1.0048828
0.21128742	-45.311432	1.1049805
0.18739311	-45.318451	1.2050781
0.17846747	-45.314655	1.3051758
0.20750752	-45.313068	1.4052734
0.15988082	-45.317467	1.5053711
0.19292818	-45.313572	1.6054688
0.1726709	-45.315971	1.7055664
0.19015732	-45.313534	1.8056641
0.21281947	-45.311993	1.9057617
0.21774207	-45.308578	2.0058594
0.23773672	-45.306778	2.105957
0.22208944	-45.306881	2.2060547
0.25628284	-45.303833	2.3061523
0.23971097	-45.304741	2.40625
0.25726488	-45.302689	2.5063477
0.24913386	-45.303474	2.6064453
0.27102697	-45.300961	2.706543
0.27452266	-45.30117	2.8066406
0.27707395	-45.301144	2.9067383
0.30333599	-45.294888	3.0068359
0.36225167	-45.291008	3.1069336
0.25631595	-45.298393	3.2070313
0.35354429	-45.288311	3.3071289
0.32652435	-45.292557	3.4072266
0.32448861	-45.290394	3.5073242
0.32012144	-45.291676	3.6074219
0.31366876	-45.291283	3.7075195
0.29628822	-45.292667	3.8076172
0.28251493	-45.293915	3.9077148
0.33815849	-45.289585	4.0078125
0.27359354	-45.292065	4.1079102
0.344504	-45.284878	4.2080078
0.31715778	-45.287769	4.3081055
0.31574112	-45.287014	4.4082031
0.30230659	-45.287888	4.5083008
0.31140327	-45.286873	4.6083984
0.3098948	-45.287052	4.7084961
0.32521626	-45.28429	4.8085938
0.39201358	-45.277927	4.9086914
0.29961133	-45.285038	5.0087891
0.39847276	-45.27483	5.1088867
0.41800904	-45.273312	5.2089844
0.41395974	-45.273499	5.309082
0.41135088	-45.273296	5.4091797
0.40915233	-45.272633	5.5092773
0.42467046	-45.269924	5.609375
0.43118107	-45.270565	5.7094727
0.43532482	-45.270027	5.8095703
0.45441315	-45.269112	5.909668
0.48677099	-45.26685	6.0097656
0.45126575	-45.268681	6.1098633
0.47202346	-45.265305	6.2099609
0.48474866	-45.2645	6.3100586
0.45512509	-45.265656	6.4101563
0.48510042	-45.262955	6.5102539
0.46201339	-45.263908	6.6103516
0.45646429	-45.263676	6.7104492
0.43959501	-45.263924	6.8105469
0.44799805	-45.26366	6.9106445
0.41706768	-45.265499	7.0107422
0.44183058	-45.262642	7.1108398
0.44135946	-45.261005	7.2109375
0.46672833	-45.259445	7.3110352
0.44515103	-45.26004	7.4111328
0.46630451	-45.25761	7.5112305
0.46370748	-45.25848	7.6113281
0.44845557	-45.258015	7.7114258
0.47139993	-45.255745	7.8115234
0.51471221	-45.253338	7.9116211
0.42976427	-45.256966	8.0117188
0.5891127	-45.243839	8.1118164
0.5920186	-45.244713	8.2119141
0.53576994	-45.247025	8.3120117
0.57317191	-45.243973	8.4121094
0.58733046	-45.243198	8.512207
0.58811158	-45.243843	8.6123047
0.58089429	-45.244404	8.7124023
0.57181746	-45.244278	8.8125
0.64026618	-45.239777	8.9125977
0.61598194	-45.240715	9.0126953
0.56439292	-45.243317	9.112793
0.6246618	-45.238144	9.2128906
0.65530843	-45.237297	9.3129883
0.57623374	-45.240734	9.4130859
0.56757301	-45.240242	9.5131836
0.56663883	-45.24017	9.6132813
0.59942079	-45.237904	9.7133789
0.57073748	-45.238827	9.8134766
0.55423665	-45.239285	9.9135742
0.52315217	-45.241016	10.013672
0.55709827	-45.236408	10.11377
0.66046351	-45.229404	10.213867
0.5699625	-45.235043	10.313965
0.54937017	-45.234192	10.414063
0.64333898	-45.228401	10.51416
0.63236672	-45.228939	10.614258
0.60698897	-45.230331	10.714355
0.6453625	-45.226841	10.814453
0.667045	-45.225872	10.914551
0.65834695	-45.225872	11.014648
0.69331944	-45.224003	11.114746
0.76092887	-45.218967	11.214844
0.78192234	-45.217354	11.314941
0.76358032	-45.217587	11.415039
0.77388382	-45.217167	11.515137
0.79043931	-45.215298	11.615234
0.75684649	-45.216358	11.715332
0.75442785	-45.216282	11.81543
0.75138324	-45.216057	11.915527
0.7488535	-45.216106	12.015625
0.77872586	-45.214409	12.115723
0.74500877	-45.214577	12.21582
0.7592423	-45.213154	12.315918
0.74154407	-45.213848	12.416016
0.72691685	-45.213776	12.516113
0.72013915	-45.213737	12.616211
0.70391482	-45.214176	12.716309
0.69622391	-45.214123	12.816406
0.71456808	-45.212551	12.916504
0.69668752	-45.213009	13.016602
0.65771639	-45.213177	13.116699
0.76011407	-45.205078	13.216797
0.80928123	-45.203033	13.316895
0.73687369	-45.207092	13.416992
0.73756915	-45.20525	13.51709
0.80375189	-45.20145	13.617188
0.79693216	-45.201408	13.717285
0.7984826	-45.20092	13.817383
0.82820827	-45.198387	13.91748
0.86882752	-45.196121	14.017578
0.84030312	-45.198238	14.117676
0.8472634	-45.197227	14.217773
0.96036434	-45.189552	14.317871
0.97019684	-45.189178	14.417969
0.90093714	-45.191975	14.518066
0.90231222	-45.191097	14.618164
0.90200663	-45.190903	14.718262
0.91784573	-45.190182	14.818359
0.88725346	-45.191746	14.918457
0.86389542	-45.19249	15.018555
0.83977914	-45.193096	15.118652
0.8334862	-45.193123	15.21875
0.82414526	-45.194168	15.318848
0.81837016	-45.193748	15.418945
0.7543838	-45.195923	15.519043
0.8541885	-45.188843	15.619141
0.84988296	-45.188995	15.719238
0.8351447	-45.190063	15.819336
0.81475854	-45.189262	15.919434
0.82654303	-45.187622	16.019531
0.83275884	-45.186501	16.119629
0.81770176	-45.185379	16.219727
0.92098248	-45.17926	16.319824
0.95198959	-45.177395	16.419922
0.91775703	-45.178673	16.52002
0.92881227	-45.177536	16.620117
0.98651028	-45.174034	16.720215
0.98593509	-45.173611	16.820313
0.98756319	-45.173439	16.92041
1.00564	-45.172588	17.020508
1.0289575	-45.171032	17.120605
1.0379183	-45.170662	17.220703
1.1098505	-45.167263	17.320801
1.1146784	-45.166103	17.420898
1.0258977	-45.169552	17.520996
1.024753	-45.167904	17.621094
1.0664518	-45.166042	17.721191
1.0779345	-45.16608	17.821289
1.0288631	-45.168037	17.921387
1.0050883	-45.168209	18.021484
1.0185518	-45.167179	18.121582
0.99455225	-45.168716	18.22168
0.99578351	-45.167305	18.321777
0.93441343	-45.168858	18.421875
0.90414459	-45.168873	18.521973
0.96901238	-45.164688	18.62207
1.03431	-45.161594	18.722168
0.99976629	-45.163387	18.822266
0.97361988	-45.164124	18.922363
0.98088884	-45.163147	19.022461
0.98535675	-45.161793	19.122559
1.0016427	-45.160732	19.222656
1.0303277	-45.15929	19.322754
1.0482804	-45.158699	19.422852
1.0596323	-45.157455	19.522949
1.1298023	-45.152653	19.623047
1.1892465	-45.149357	19.723145
1.1697494	-45.149136	19.823242
1.1519053	-45.14996	19.92334
1.1299562	-45.151016	20.023438
1.1560771	-45.149277	20.123535
1.1760385	-45.147907	20.223633
1.2047536	-45.145535	20.32373
1.1838279	-45.146637	20.423828
1.2239516	-45.144886	20.523926
1.1827918	-45.145828	20.624023
1.1610279	-45.145138	20.724121
1.1963356	-45.143532	20.824219
1.1759926	-45.143871	20.924316
1.1668259	-45.143841	21.024414
1.1568626	-45.144142	21.124512
1.1373764	-45.144264	21.224609
1.1277814	-45.144699	21.324707
1.098946	-45.145267	21.424805
1.0844347	-45.145569	21.524902
1.0397598	-45.145824	21.625
1.1001698	-45.14069	21.725098
1.2219241	-45.13446	21.825195
1.1980758	-45.136456	21.925293
1.0925306	-45.141945	22.025391
1.1237202	-45.138081	22.125488
1.1800177	-45.1348	22.225586
1.2368276	-45.131733	22.325684
1.2317449	-45.131477	22.425781
1.2492199	-45.130531	22.525879
1.2649127	-45.129242	22.625977
1.3428965	-45.125813	22.726074
1.3845589	-45.122589	22.826172
1.3458344	-45.123875	22.92627
1.2927072	-45.126179	23.026367
1.3131799	-45.124363	23.126465
1.3420974	-45.122929	23.226563
1.3307931	-45.123299	23.32666
1.2998747	-45.124966	23.426758
1.3040859	-45.124378	23.526855
1.3130164	-45.123512	23.626953
1.3292537	-45.122932	23.727051
1.2939698	-45.124195	23.827148
1.2315919	-45.125458	23.927246
1.2954984	-45.121475	24.027344
1.3156031	-45.12056	24.127441
1.3028257	-45.121273	24.227539
1.2781686	-45.120556	24.327637
1.2468168	-45.121475	24.427734
1.2463874	-45.121048	24.527832
1.2587483	-45.120602	24.62793
1.203959	-45.121571	24.728027
1.3025961	-45.116077	24.828125
1.3471771	-45.113937	24.928223
1.3752588	-45.112785	25.02832
1.3338983	-45.113907	25.128418
1.3329644	-45.113811	25.228516
1.3567981	-45.112099	25.328613
1.3927864	-45.110256	25.428711
1.3821759	-45.11087	25.528809
1.4020443	-45.109245	25.628906
1.4959737	-45.10421	25.729004
1.5256021	-45.103184	25.829102
1.4944378	-45.103878	25.929199
1.4535952	-45.105026	26.029297
1.4800367	-45.102993	26.129395
1.4668515	-45.102711	26.229492
1.4626055	-45.103317	26.32959
1.4719335	-45.102345	26.429688
1.4335096	-45.103592	26.529785
1.45393	-45.103592	26.629883
1.4361665	-45.102711	26.72998
1.3797246	-45.10413	26.830078
1.3362131	-45.104153	26.930176
1.425571	-45.100124	27.030273
1.4439771	-45.09919	27.130371
1.463852	-45.097973	27.230469
1.4560946	-45.097397	27.330566
1.4187983	-45.099186	27.430664
1.4235268	-45.09819	27.530762
1.4205112	-45.09819	27.630859
1.3932537	-45.098312	27.730957
1.4194459	-45.095093	27.831055
1.5035616	-45.090721	27.931152
1.5290868	-45.089539	28.03125
1.5191526	-45.089916	28.131348
1.4938952	-45.090363	28.231445
1.5163381	-45.088772	28.331543
1.5151325	-45.088882	28.431641
1.5156451	-45.087997	28.531738
1.536777	-45.086983	28.631836
1.5698931	-45.08556	28.731934
1.569091	-45.085598	28.832031
1.4907467	-45.086678	28.932129
1.5277452	-45.084297	29.032227
1.5971352	-45.080933	29.132324
