MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	80.241455	Sec	6/8/2017 12:24:49 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.10266601	-46.182083	1.9716797
0.063756742	-46.179859	2.0717773
0.098279849	-46.179131	2.171875
0.12101721	-46.166042	2.2719727
0.065519944	-46.17667	2.3720703
0.086462453	-46.172073	2.472168
0.087560013	-46.171768	2.5722656
0.084970295	-46.171169	2.6723633
0.067953683	-46.173214	2.7724609
0.094976038	-46.169788	2.8725586
0.14202003	-46.156769	2.9726563
0.072478637	-46.166965	3.0727539
0.14902619	-46.152485	3.1728516
0.11708669	-46.156151	3.2729492
0.12906823	-46.15229	3.3730469
0.13276836	-46.151398	3.4731445
0.11724669	-46.154129	3.5732422
0.12577015	-46.152142	3.6733398
0.12694132	-46.151234	3.7734375
0.19953504	-46.134995	3.8735352
0.14252509	-46.144077	3.9736328
0.20608282	-46.129242	4.0737305
0.18398747	-46.132721	4.1738281
0.19208841	-46.130177	4.2739258
0.19973604	-46.128292	4.3740234
0.18382758	-46.130463	4.4741211
0.18567814	-46.129444	4.5742188
0.19806683	-46.127331	4.6743164
0.19323041	-46.128193	4.7744141
0.21140605	-46.125366	4.8745117
0.23571488	-46.115479	4.9746094
0.21399729	-46.121323	5.074707
0.24685499	-46.111332	5.1748047
0.23094904	-46.112701	5.2749023
0.22672778	-46.112663	5.375
0.23110493	-46.11113	5.4750977
0.21266769	-46.112793	5.5751953
0.23523635	-46.109791	5.675293
0.22766754	-46.110455	5.7753906
0.28778985	-46.095348	5.8754883
0.24303895	-46.104828	5.9755859
0.3010942	-46.089466	6.0756836
0.27358243	-46.091579	6.1757813
0.28964123	-46.090034	6.2758789
0.2884222	-46.088036	6.3759766
0.28637791	-46.087749	6.4760742
0.28300682	-46.086971	6.5761719
0.27097183	-46.088032	6.6762695
0.26979637	-46.087791	6.7763672
0.26979324	-46.08783	6.8764648
0.34260353	-46.075562	6.9765625
0.32028511	-46.075085	7.0766602
0.34057036	-46.071815	7.1767578
0.33538693	-46.070164	7.2768555
0.32561514	-46.071442	7.3769531
0.30557308	-46.072975	7.4770508
0.32719293	-46.070526	7.5771484
0.31928289	-46.070774	7.6772461
0.32826298	-46.069489	7.7773438
0.39785179	-46.056709	7.8774414
0.3435545	-46.063526	7.9775391
0.39027038	-46.051624	8.0776367
0.38075632	-46.053967	8.1777344
0.3718071	-46.052406	8.277832
0.37005922	-46.052601	8.3779297
0.35932493	-46.052818	8.4780273
0.39754558	-46.047634	8.578125
0.37245399	-46.049747	8.6782227
0.3785049	-46.048954	8.7783203
0.41179562	-46.044655	8.878418
0.369147	-46.042904	8.9785156
0.45571563	-46.034653	9.0786133
0.42408395	-46.035027	9.1787109
0.43616742	-46.033089	9.2788086
0.42378673	-46.032684	9.3789063
0.45054975	-46.028973	9.4790039
0.43634477	-46.029209	9.5791016
0.43574595	-46.028122	9.6791992
0.44034964	-46.027542	9.7792969
0.4321706	-46.027725	9.8793945
0.44546127	-46.026447	9.9794922
0.43795606	-46.025768	10.07959
0.49843919	-46.01479	10.179688
0.47424525	-46.017593	10.279785
0.48086876	-46.013424	10.379883
0.47567225	-46.013805	10.47998
0.48367369	-46.012337	10.580078
0.48191395	-46.011585	10.680176
0.48255527	-46.010242	10.780273
0.49305311	-46.00861	10.880371
0.52649122	-46.001724	10.980469
0.54561311	-45.999996	11.080566
0.4903546	-46.000469	11.180664
0.56248778	-45.9925	11.280762
0.50462103	-45.997959	11.380859
