MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	45.92627	Sec	6/8/2017 1:48:24 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.10988877	-44.343388	1.6074219
0.023065012	-44.379066	1.7075195
0.0085722422	-44.40295	1.8076172
0.10652725	-44.347904	1.9077148
0.098078199	-44.334377	2.0078125
0.0500631	-44.355724	2.1079102
0.064084359	-44.353653	2.2080078
0.095035426	-44.337852	2.3081055
0.071833104	-44.343002	2.4082031
0.056826625	-44.351543	2.5083008
0.071182609	-44.346413	2.6083984
0.081370965	-44.340515	2.7084961
0.085532263	-44.339516	2.8085938
0.15793361	-44.30706	2.9086914
0.15608418	-44.296062	3.0087891
0.10308562	-44.312935	3.1088867
0.13773376	-44.303646	3.2089844
0.16434884	-44.290112	3.309082
0.11572759	-44.302258	3.4091797
0.13543667	-44.29818	3.5092773
0.14577444	-44.291924	3.609375
0.13572742	-44.295025	3.7094727
0.21355946	-44.267582	3.8095703
0.13882281	-44.277172	3.909668
0.17193966	-44.275036	4.0097656
0.21513842	-44.254581	4.1098633
0.15929165	-44.266212	4.2099609
0.1843165	-44.26017	4.3100586
0.17481926	-44.259682	4.4101563
0.17764468	-44.258022	4.5102539
0.19378638	-44.253155	4.6103516
0.18905522	-44.250614	4.7104492
0.18266998	-44.251953	4.8105469
0.2115757	-44.244835	4.9106445
0.25738519	-44.227894	5.0107422
0.17087871	-44.244884	5.1108398
0.26030397	-44.225414	5.2109375
0.24000791	-44.224201	5.3110352
0.22564422	-44.227585	5.4111328
0.24396177	-44.223526	5.5112305
0.24247754	-44.222603	5.6113281
0.23872252	-44.223133	5.7114258
0.31804356	-44.203777	5.8115234
0.22720617	-44.215694	5.9116211
0.32485181	-44.199436	6.0117188
0.31204572	-44.193859	6.1118164
0.27749637	-44.200684	6.2119141
0.29700273	-44.196159	6.3120117
0.27944213	-44.197689	6.4121094
0.26968625	-44.19875	6.512207
0.28442475	-44.196167	6.6123047
0.30656099	-44.190701	6.7124023
0.30876729	-44.183121	6.8125
0.33160067	-44.181389	6.9125977
0.3294234	-44.172676	7.0126953
0.30699193	-44.179005	7.112793
0.34159854	-44.167515	7.2128906
0.29241478	-44.175556	7.3129883
0.34336999	-44.165215	7.4130859
0.31451234	-44.168076	7.5131836
0.33134153	-44.164539	7.6132813
0.33041999	-44.163311	7.7133789
0.31716335	-44.164692	7.8134766
0.39825678	-44.150814	7.9135742
0.30363253	-44.160557	8.0136719
0.44228798	-44.139137	8.1137695
0.32153952	-44.150433	8.2138672
0.41152027	-44.140976	8.3139648
0.39138359	-44.13905	8.4140625
0.37659958	-44.142475	8.5141602
0.41349131	-44.135925	8.6142578
0.37753221	-44.141174	8.7143555
0.46183264	-44.127228	8.8144531
0.394012	-44.132629	8.9145508
0.48337317	-44.11829	9.0146484
0.40236527	-44.127403	9.1147461
0.47509918	-44.11676	9.2148438
0.43736455	-44.119438	9.3149414
0.44458047	-44.117374	9.4150391
0.44858721	-44.116577	9.5151367
0.42308784	-44.118828	9.6152344
0.44379088	-44.115761	9.715332
0.41338193	-44.117195	9.8154297
0.48358324	-44.1078	9.9155273
0.41234571	-44.110596	10.015625
0.49619836	-44.099873	10.115723
0.45624822	-44.10083	10.21582
0.46638608	-44.099743	10.315918
0.45108864	-44.099403	10.416016
0.46244249	-44.097767	10.516113
0.45430276	-44.097401	10.616211
0.46042553	-44.095943	10.716309
0.53072345	-44.086983	10.816406
0.44213367	-44.091476	10.916504
0.56432271	-44.077808	11.016602
0.50185096	-44.080589	11.116699
0.54967797	-44.07605	11.216797
0.52545053	-44.077015	11.316895
0.54701477	-44.072987	11.416992
0.53979897	-44.072594	11.51709
0.56063187	-44.069012	11.617188
0.53909153	-44.071449	11.717285
0.61102891	-44.05899	11.817383
0.58223486	-44.063225	11.91748
0.60459363	-44.053532	12.017578
0.6067543	-44.055756	12.117676
0.59456885	-44.050354	12.217773
0.61222637	-44.049488	12.317871
0.57036638	-44.051487	12.417969
0.58955771	-44.049923	12.518066
0.578713	-44.049187	12.618164
0.56114942	-44.050316	12.718262
0.56266063	-44.049442	12.818359
0.60543203	-44.045547	12.918457
0.55902308	-44.043091	13.018555
0.66300613	-44.03307	13.118652
0.56232446	-44.038769	13.21875
0.64941764	-44.029308	13.318848
0.62181848	-44.029797	13.418945
0.62399971	-44.028774	13.519043
0.62981015	-44.026661	13.619141
0.63977611	-44.024647	13.719238
0.626957	-44.024773	13.819336
0.62725419	-44.024773	13.919434
0.70436215	-44.015663	14.019531
0.64853483	-44.018528	14.119629
0.73249537	-44.004669	14.219727
0.7009747	-44.00964	14.319824
