MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	47.188721	Sec	6/8/2017 2:20:08 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.15299693	-45.800255	2.6774902
0.12635843	-45.797295	2.7775879
0.08910118	-45.815365	2.8776855
0.14278106	-45.796482	2.9777832
0.13958129	-45.790798	3.0778809
0.11598167	-45.797844	3.1779785
0.1214423	-45.797577	3.2780762
0.13491155	-45.792664	3.3781738
0.19497728	-45.768093	3.4782715
0.13823217	-45.774094	3.5783691
0.15598758	-45.776295	3.6784668
0.20439801	-45.7547	3.7785645
0.1582773	-45.763706	3.8786621
0.17651923	-45.760914	3.9787598
0.17677659	-45.757206	4.0788574
0.1492023	-45.765476	4.1789551
0.18720266	-45.756832	4.2790527
0.2357654	-45.734562	4.3791504
0.15592696	-45.753059	4.479248
0.23101263	-45.734524	4.5793457
0.21814847	-45.729603	4.6794434
0.20513028	-45.733261	4.779541
0.20663641	-45.731377	4.8796387
0.21385902	-45.729626	4.9797363
0.2127409	-45.727345	5.079834
0.21716781	-45.725536	5.1799316
0.26760903	-45.711941	5.2800293
0.22074039	-45.712093	5.380127
0.24689952	-45.712639	5.4802246
0.29191706	-45.692879	5.5803223
0.24530225	-45.701694	5.6804199
0.27526855	-45.69524	5.7805176
0.27620909	-45.692326	5.8806152
0.2736254	-45.69257	5.9807129
0.27220547	-45.691921	6.0808105
0.27910167	-45.689503	6.1809082
0.27122036	-45.689487	6.2810059
0.32466927	-45.677429	6.3811035
0.30828926	-45.669418	6.4812012
0.27880329	-45.682236	6.5812988
0.36144468	-45.656887	6.6813965
0.2938973	-45.667839	6.7814941
0.32429954	-45.662884	6.8815918
0.32242918	-45.661022	6.9816895
0.32403097	-45.659988	7.0817871
0.32204258	-45.660782	7.1818848
0.31727201	-45.660152	7.2819824
0.38554427	-45.645424	7.3820801
0.32050192	-45.648453	7.4821777
0.36620039	-45.644939	7.5822754
0.38418087	-45.632969	7.682373
0.34911045	-45.639709	7.7824707
0.37030897	-45.634212	7.8825684
0.36541417	-45.63485	7.982666
0.37414107	-45.630295	8.0827637
0.3408092	-45.636734	8.1828613
0.35921952	-45.633221	8.282959
0.43779662	-45.615345	8.3830566
0.33199939	-45.630196	8.4831543
0.45690444	-45.608288	8.583252
0.39837912	-45.610916	8.6833496
0.4277654	-45.608803	8.7834473
0.41947269	-45.605968	8.8835449
0.40844455	-45.607689	8.9836426
0.4255923	-45.604351	9.0837402
0.40943557	-45.606747	9.1838379
0.42002606	-45.604786	9.2839355
0.46866435	-45.594952	9.3840332
0.41372642	-45.597538	9.4841309
0.48775828	-45.588005	9.5842285
0.46450293	-45.585091	9.6843262
0.47747892	-45.584297	9.7844238
0.47516069	-45.581669	9.8845215
0.45539817	-45.584618	9.9846191
0.4781774	-45.579292	10.084717
0.46548527	-45.580723	10.184814
0.47486508	-45.578197	10.284912
0.51444745	-45.570915	10.38501
0.4839187	-45.567146	10.485107
0.50560898	-45.568428	10.585205
0.51896453	-45.558743	10.685303
0.5209415	-45.558144	10.7854
0.50972617	-45.558262	10.885498
0.51502681	-45.557159	10.985596
0.50388765	-45.556232	11.085693
0.52511156	-45.553947	11.185791
0.51237249	-45.553757	11.285889
0.59474981	-45.537689	11.385986
0.4863297	-45.550285	11.486084
0.61359632	-45.529858	11.586182
0.51649737	-45.539398	11.686279
0.60404772	-45.528091	11.786377
0.55810934	-45.530403	11.886475
0.58402246	-45.527664	11.986572
0.55424523	-45.529976	12.08667
0.59099263	-45.523312	12.186768
0.56738865	-45.526093	12.286865
0.57804209	-45.524139	12.386963
0.58556205	-45.521	12.487061
0.62851757	-45.514889	12.587158
0.59207875	-45.512756	12.687256
0.63438636	-45.509312	12.787354
0.62265706	-45.5042	12.887451
0.61835068	-45.506119	12.987549
0.61522335	-45.504173	13.087646
0.63367897	-45.501652	13.187744
0.62030804	-45.503143	13.287842
0.62259358	-45.501282	13.387939
0.66565645	-45.495731	13.488037
0.62098539	-45.493282	13.588135
0.68829823	-45.487698	13.688232
0.65580815	-45.485302	13.78833
0.68212706	-45.481876	13.888428
0.64314616	-45.484642	13.988525
0.68264216	-45.480209	14.088623
0.64851195	-45.482738	14.188721
0.66042411	-45.481064	14.288818
0.67421979	-45.478203	14.388916
0.71002865	-45.468033	14.489014
0.69609737	-45.469913	14.589111
0.70406002	-45.46487	14.689209
0.69675332	-45.466148	14.789307
0.71824718	-45.461338	14.889404
0.67910475	-45.465778	14.989502
0.71512431	-45.46069	15.0896
0.69182128	-45.462639	15.189697
0.77639103	-45.449139	15.289795
0.69840312	-45.456989	15.389893
0.80109239	-45.438984	15.48999
0.70464969	-45.45129	15.590088
0.80299354	-45.435093	15.690186
0.76470923	-45.438881	15.790283
0.7779724	-45.434521	15.890381
0.77772605	-45.435387	15.990479
0.77593732	-45.433704	16.090576
0.77501947	-45.434265	16.190674
0.76817536	-45.432644	16.290771
0.78299868	-45.430176	16.390869
0.77310777	-45.430412	16.490967
0.83375156	-45.422077	16.591064
0.75058496	-45.427521	16.691162
0.86259443	-45.412979	16.79126
0.80279911	-45.417889	16.891357
0.83526653	-45.413033	16.991455
0.81066597	-45.414665	17.091553
0.82225049	-45.411491	17.19165
0.81174988	-45.411602	17.291748
0.8303104	-45.407795	17.391846
0.80979961	-45.409344	17.491943
0.82927608	-45.405586	17.592041
0.80546105	-45.408577	17.692139
0.89996266	-45.39415	17.792236
0.80682814	-45.403297	17.892334
0.88302338	-45.391132	17.992432
0.87405992	-45.392311	18.092529
0.8731795	-45.390022	18.192627
0.88000607	-45.388447	18.292725
0.86963069	-45.388763	18.392822
0.89626896	-45.384518	18.49292
0.8594256	-45.387615	18.593018
0.95772344	-45.375282	18.693115
0.84012824	-45.384697	18.793213
0.96590316	-45.36718	18.893311
0.92736644	-45.371487	18.993408
0.9457233	-45.367397	19.093506
0.92255992	-45.368607	19.193604
0.93511593	-45.366318	19.293701
0.9168089	-45.368408	19.393799
0.91469079	-45.367561	19.493896
0.9543696	-45.362286	19.593994
0.89647579	-45.362816	19.694092
1.0169783	-45.350594	19.794189
0.93450421	-45.356007	19.894287
0.98300362	-45.349243	19.994385
0.94918346	-45.351734	20.094482
0.9622575	-45.348885	20.19458
0.94989818	-45.350147	20.294678
0.95922345	-45.347607	20.394775
0.95643735	-45.347778	20.494873
0.99889386	-45.341679	20.594971
0.95037532	-45.343342	20.695068
1.0291198	-45.333534	20.795166
