MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	17.393799	Sec	6/8/2017 4:23:58 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.13572522	-47.95438	2.4592285
0.055591505	-47.964695	2.5593262
0.11512797	-47.957935	2.6594238
0.16133204	-47.936131	2.7595215
0.10309612	-47.948395	2.8596191
0.16294324	-47.935398	2.9597168
0.11861046	-47.93959	3.0598145
0.11314262	-47.946751	3.1599121
0.16300565	-47.933037	3.2600098
0.12835768	-47.937923	3.3601074
0.13575035	-47.937504	3.4602051
0.13076483	-47.937073	3.5603027
0.13033207	-47.937355	3.6604004
0.19490981	-47.923283	3.760498
0.13383365	-47.926193	3.8605957
0.19016531	-47.920612	3.9606934
0.19231479	-47.911854	4.060791
0.17667978	-47.915154	4.1608887
0.18162721	-47.911472	4.2609863
0.19528601	-47.909801	4.361084
0.19309831	-47.907288	4.4611816
0.17639303	-47.910915	4.5612793
0.19279943	-47.905781	4.661377
0.17481531	-47.909687	4.7614746
0.20239069	-47.903408	4.8615723
0.18293276	-47.905365	4.9616699
0.1851687	-47.904778	5.0617676
0.26219967	-47.890526	5.1618652
0.16979733	-47.900444	5.2619629
0.29325724	-47.880276	5.3620605
0.19521427	-47.889801	5.4621582
0.28794789	-47.87878	5.5622559
0.25387487	-47.878567	5.6623535
0.26726961	-47.877785	5.7624512
0.24966975	-47.878513	5.8625488
0.26849276	-47.875439	5.9626465
0.26362637	-47.875015	6.0627441
0.27585068	-47.873638	6.1628418
0.26011053	-47.873974	6.2629395
0.30271927	-47.868778	6.3630371
0.27531391	-47.865982	6.4631348
0.33824426	-47.859062	6.5632324
0.32796481	-47.854771	6.6633301
0.30772111	-47.858788	6.7634277
0.32478857	-47.852127	6.8635254
0.30545938	-47.856213	6.963623
0.32105649	-47.852001	7.0637207
0.30592945	-47.853947	7.1638184
0.31884581	-47.850334	7.263916
0.30028191	-47.851963	7.3640137
0.31115755	-47.849895	7.4641113
0.33080095	-47.848003	7.564209
0.37137458	-47.836617	7.6643066
0.34394062	-47.840446	7.7644043
0.36806706	-47.833057	7.864502
0.35630363	-47.834969	7.9645996
0.35722855	-47.83263	8.0646973
0.36715832	-47.831982	8.1647949
0.35267538	-47.83078	8.2648926
0.37781695	-47.828033	8.3649902
0.34999681	-47.830509	8.4650879
0.3727932	-47.827385	8.5651855
0.39850768	-47.825085	8.6652832
0.41418982	-47.814903	8.7653809
0.42639881	-47.815861	8.8654785
0.41703537	-47.81094	8.9655762
0.42408472	-47.811459	9.0656738
0.40962315	-47.810665	9.1657715
0.42208162	-47.809761	9.2658691
0.4306244	-47.808079	9.3659668
0.41887942	-47.808968	9.4660645
0.41890559	-47.807945	9.5661621
0.49673766	-47.794258	9.6662598
0.43539444	-47.802349	9.7663574
0.49279583	-47.790035	9.8664551
0.47534722	-47.792862	9.9665527
0.46991637	-47.790901	10.06665
0.44287333	-47.793713	10.166748
0.45548761	-47.791965	10.266846
0.46560317	-47.791245	10.366943
0.45211527	-47.790813	10.467041
0.45220867	-47.79068	10.567139
0.51905745	-47.778431	10.667236
0.47901031	-47.783226	10.767334
0.49317059	-47.77792	10.867432
0.50319499	-47.777451	10.967529
0.49633038	-47.776527	11.067627
0.49230275	-47.777149	11.167725
0.49183261	-47.775536	11.267822
0.50503492	-47.774014	11.36792
0.55458492	-47.765823	11.468018
0.54343265	-47.766621	11.568115
