MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	38.171387	Sec	6/8/2017 5:48:26 PM
Axial Force	Axial Displacement	Time
N	mm	Sec
0.11039203	-48.975945	1.7900391
0.069187619	-48.98056	1.8901367
0.098779336	-48.976582	1.9902344
0.084537633	-48.976891	2.090332
0.084985703	-48.977119	2.1904297
0.083796911	-48.976418	2.2905273
0.074531168	-48.977932	2.390625
0.08169765	-48.975903	2.4907227
0.067373782	-48.977654	2.5908203
0.1424312	-48.962521	2.690918
0.063413978	-48.972607	2.7910156
0.15452525	-48.955898	2.8911133
0.082506247	-48.961575	2.9912109
0.13326092	-48.95723	3.0913086
0.12844579	-48.951195	3.1914063
0.12552655	-48.952957	3.2915039
0.13648507	-48.948315	3.3916016
0.13400346	-48.948517	3.4916992
0.13392586	-48.947311	3.5917969
0.13384968	-48.947018	3.6918945
0.14560461	-48.944569	3.7919922
0.13226095	-48.946568	3.8920898
0.20729177	-48.933193	3.9921875
0.1464645	-48.936321	4.0922852
0.19736287	-48.933418	4.1923828
0.21397345	-48.92371	4.2924805
0.20636062	-48.925621	4.3925781
0.22023718	-48.922634	4.4926758
0.21738502	-48.921822	4.5927734
0.21701109	-48.921135	4.6928711
0.21208803	-48.920532	4.7929688
0.21410055	-48.920788	4.8930664
0.2281533	-48.918842	4.9931641
0.22366136	-48.917339	5.0932617
0.20650351	-48.920086	5.1933594
0.26186588	-48.911045	5.293457
0.21462087	-48.91312	5.3935547
0.26699042	-48.904713	5.4936523
0.24420762	-48.90556	5.59375
0.25406414	-48.903439	5.6938477
0.25574043	-48.90136	5.7939453
0.23353881	-48.90411	5.894043
0.26264203	-48.898705	5.9941406
0.23590456	-48.901859	6.0942383
0.24557196	-48.900105	6.1943359
0.2627503	-48.896538	6.2944336
0.24485017	-48.897312	6.3945313
0.2645838	-48.894478	6.4946289
0.23919082	-48.897579	6.5947266
0.27210227	-48.89241	6.6948242
0.29612976	-48.888832	6.7949219
0.35180482	-48.873066	6.8950195
0.29465881	-48.881756	6.9951172
0.35652205	-48.868404	7.0952148
0.32049981	-48.872482	7.1953125
0.33981103	-48.86982	7.2954102
0.34015816	-48.86845	7.3955078
0.33618358	-48.86948	7.4956055
0.34171817	-48.867527	7.5957031
0.33574134	-48.867558	7.6958008
0.41345558	-48.854622	7.7958984
0.3353866	-48.861126	7.8959961
0.41315451	-48.850029	7.9960938
0.37681332	-48.853195	8.0961914
0.40124643	-48.847984	8.1962891
0.38683417	-48.84866	8.2963867
0.39761016	-48.84655	8.3964844
0.38754079	-48.846249	8.496582
0.38342592	-48.845623	8.5966797
0.38360119	-48.84531	8.6967773
0.38680151	-48.844135	8.796875
0.40439895	-48.839764	8.8969727
0.38768882	-48.840984	8.9970703
0.38831758	-48.839569	9.097168
0.42989162	-48.835094	9.1972656
0.39338478	-48.833672	9.2973633
0.4686645	-48.825592	9.3974609
0.4355619	-48.823906	9.4975586
0.47032279	-48.82061	9.5976563
0.43977562	-48.82198	9.6977539
0.46639016	-48.818424	9.7978516
0.45912543	-48.817661	9.8979492
0.46853769	-48.816032	9.9980469
0.45901722	-48.816227	10.098145
0.48260528	-48.812683	10.198242
0.47700503	-48.812572	10.29834
0.45146275	-48.814373	10.398438
0.54020518	-48.80389	10.498535
0.46528468	-48.804428	10.598633
0.55970699	-48.796314	10.69873
0.46758404	-48.800148	10.798828
0.56946683	-48.789787	10.898926
0.47832614	-48.797371	10.999023
0.55072457	-48.788139	11.099121
0.52027619	-48.79121	11.199219
0.51391041	-48.790138	11.299316
0.54095936	-48.787811	11.399414
0.51502013	-48.788528	11.499512
0.52315158	-48.788013	11.599609
0.50825477	-48.788387	11.699707
0.526039	-48.785496	11.799805
0.58013576	-48.77599	11.899902
0.56895566	-48.776276	12
0.56347913	-48.775883	12.100098
0.57046068	-48.774334	12.200195
0.5864538	-48.77153	12.300293
0.56251311	-48.772861	12.400391
0.59873217	-48.767563	12.500488
0.5889377	-48.767075	12.600586
0.58227891	-48.76709	12.700684
0.59597194	-48.7658	12.800781
0.58246076	-48.765953	12.900879
0.65606904	-48.755707	13.000977
0.56416422	-48.762394	13.101074
0.67392534	-48.74892	13.201172
0.63436061	-48.751774	13.30127
0.63777733	-48.75034	13.401367
0.65073311	-48.74675	13.501465
0.64644474	-48.746834	13.601563
0.64678138	-48.745388	13.70166
0.64752328	-48.744308	13.801758
0.63404471	-48.744164	13.901855
