asuid,species,length,exo,endo,total,fmax,uts,E
19615,caryae,10.38583345,0.004031437,0.018862425,0.022893862,3.5840826,191.865240998,1728.99066288
19606,uniformis,4.592784548,0.004098386,0.013832904,0.01793129,1.7587829,102.427980799,2275.17454087
19623,proboscideus,7.856409285,0.00391302,0.010359069,0.014272089,2.1439984,179.23335099,1345.07604683
19616,caryae,8.370108747,0.005233919,0.025104067,0.030337987,3.8589873,179.696183787,1156.25797019
19636,uniformis,3.68637717,0.003356758,0.011185429,0.014542187,2.3878853,205.31169302,813.610460739
19603,victoriensis,5.362152536,0.010444571,0.014040666,0.024485237,2.1997905,93.3281826485,2171.70439513
19631,sulcatulus,5.168539109,0.004240934,0.018015698,0.022256632,2.6222241,136.095490198,783.328541051
19630,sulcatulus,5.054044981,0.003991808,0.017358574,0.021350382,2.4255109,128.547988013,1014.98610783
19634,uniformis,5.427017285,0.003834605,0.016569269,0.020403874,2.0364769,126.902022293,576.432696957
19633,uniformis,4.452749989,0.003378167,0.013364286,0.016742452,1.8501333,125.385387027,859.366222385
19613,caryae,11.09279895,0.005233565,0.023198643,0.028432208,5.3342738,199.534963817,3209.10547117
19618,humeralis,4.407739004,0.005838119,0.017228359,0.023066478,2.5828912,132.529042631,708.135116424
19640,proboscideus,9.162424867,0.005075172,0.014125852,0.019201024,2.1857111,127.073496683,1616.21122798
19621,humeralis,4.335127353,0.005171606,0.019139448,0.024311055,5.2311339,288.821155315,908.678583738
19628,sulcatulus,4.481073037,0.003758919,0.013353518,0.017112436,2.1271718,143.280562097,961.643645607
19624,proboscideus,7.82448446,0.003239221,0.010839808,0.014079029,1.2601088,96.1765021185,1290.34617401
19639,uniformis,4.061044008,0.005444697,0.011232759,0.016677456,1.4324251,107.06807586,551.222519926
19614,caryae,12.98775804,0.027904733,0.036159473,0.064064206,6.4675808,109.864202617,1343.71570426
19612,sulcatulus,3.864379806,0.008001327,0.010252088,0.018253415,1.1852844,72.1458574477,527.762439426
